Game,TCP,UDP,
Dead by Daylight Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dead Cells Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Cells Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dead Cells Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Cells Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DEAD DOZEN,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead In Vinland,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Island Xbox 360,3074,"88, 3074",
Dead Island Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead Island,"26100, 27015-27030, 27036-27037, 32500, 32550","4380, 26100, 27000-27031, 27036, 32500, 32550",
Dead Island 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Island 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Island: Definitive Edition,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Island: Definitive Edition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Island: Definitive Edition Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Island: Riptide,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Island: Riptide Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead Island: Riptide Xbox 360,3074,"88, 3074",
Dead Mayhem,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Nation Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead Nation: Apocalypse Edition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead or Alive 4 Xbox 360,3074,"88, 3074",
Dead or Alive 5 Xbox 360,3074,"88, 3074",
Dead or Alive 5 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead or Alive 5: Last Round Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead or Alive 5: Last Round Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead or Alive 5: Last Round Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead or Alive 5: Last Round Xbox 360,3074,"88, 3074",
Dead or Alive 5: Last Round,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead or Alive 6 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead or Alive 6 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead or Alive 6 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead or Alive: Xtreme 2 Xbox 360,3074,"88, 3074",
Dead or Alive: Xtreme 3 - Fortune Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead or Alive: Xtreme 3 - Scarlet Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead or Alive: Xtreme 3 - Scarlet Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dead Rising Xbox 360,3074,"88, 3074",
Dead Rising,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Rising Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Rising Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Rising 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Rising 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead Rising 2 Xbox 360,3074,"88, 3074",
Dead Rising 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Rising 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Rising 2: Case West Xbox 360,3074,"88, 3074",
Dead Rising 2: Case Zero Xbox 360,3074,"88, 3074",
Dead Rising 2: Off the Record Xbox 360,3074,"88, 3074",
Dead Rising 2: Off the Record,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Rising 2: Off the Record Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dead Rising 2: Off the Record Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Rising 2: Off the Record Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Rising 3 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Rising 3,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Rising 4 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dead Rising 4,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dead Rising 4 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dead Rising: Chop Till You Drop Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dead Space Xbox 360,3074,3074,
Dead Space Playstation 3,5223,"5223, 3478, 3479, 3658",
Dead Space 2,"28910, 29900-29901",8088-28088,
Dead Space 2 Xbox 360,3074,3074,
Dead Space 2 Playstation 3,5223,"5223, 3478, 3479, 3658",
Dead Space 3,"1024-1124, 9960-9969, 18000, 18120, 18060, 27900, 28910, 29900","1024-1124, 18000, 29900",
Dead Space 3 Playstation 3,"5223, 3074","88, 5223, 3074, 3478-3479, 3658",
Dead Space 3 Xbox 360,3074,3074,
Deadbolt,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deadbolt Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deadfall Adventures,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deadfall Adventures Xbox 360,3074,"88, 3074",
Deadfall Adventures: Heart of Atlantis Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Deadliest Catch Alaskan Storm Xbox 360,3074,3074,
Deadliest Warrior: The Game Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Deadliest Warrior: The Game Xbox 360,3074,"88, 3074",
Deadlight Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deadlight Xbox 360,3074,"88, 3074",
Deadlight Xbox One,3074,"88, 500, 3074, 3544, 4500",
Deadly Premonition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Deadly Premonition Xbox 360,3074,"88, 3074",
Deadpool,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deadpool Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Deadpool Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deadpool Xbox 360,3074,"88, 3074",
Deadpool Xbox One,3074,"88, 500, 3074, 3544, 4500",
Death end re,5677,5678,"3074, 3478-3479"
Death from Unknown: Survival,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Death Mark Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Death Mark Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Death Road to Canada Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Death Road to Canada Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Death Road to Canada Xbox One,3074,"88, 500, 3074, 3544, 4500",
Death Road to Canada Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Death Squared Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Death Squared Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Death Squared Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Death Squared Xbox One,3074,"88, 500, 3074, 3544, 4500",
Death Stranding Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DeathSmiles Xbox 360,3074,3074,
Deceiver,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dedicated Micros DS2,80,"21, 80, 8234, 8235",
Deer Hunter 2005,23458,,
Def Jam: Icon Xbox 360,3074,"88, 3074",
Def Jam: Icon Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Def Jam: Rapstar Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Def Jam: Rapstar Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Def Jam: Rapstar Xbox 360,3074,"88, 3074",
Defcon,5008-5011,,
Defender Xbox 360,3074,3074,
Defender 21013,"80, 5000, 9000, 18004","80, 5000, 9000, 18004",
Defender 21065 DVR,"5000, 9000, 18004","5000, 9000, 18004",
Defender 21066 DVR,"5000, 9000, 18004","5000, 9000, 18004",
Defender 21101,"80, 5000, 9000, 18004","80, 5000, 9000, 18004",
Defender 21152,"80, 5000, 9000, 18004","80, 5000, 9000, 18004",
Defender SENTINEL11,"67, 68, 80",,
Defender SN300-4CH-001,80,,
Defender SN301-8CH,"80, 1024, 9000",,
Defender SN500-4CH,80,,
Defender SN500-4CH-002,80,,
Defender SN501,80,,
Defender SN502-4CH-002,"80, 9000","80, 9000",
Defense Grid 2,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Defense Grid 2 Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Defense Grid 2 Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Defense Grid The Awakening Xbox 360,3074,3074,
Defiance,"6540, 50000",40000-45000,
Defiance Playstation 3,"3478-3480, 5223, 6540, 8080, 50000","3074, 3478-3479, 3658, 40000-45000",
Defiance Xbox 360,"3074, 6540, 50000","88, 3074, 40000-45000",
Defiance 2050,"6540, 50000",40000-45000,
Defiance 2050 Playstation 4,"1935, 3478-3480, 6540, 50000","3074, 3478-3479, 40000-45000",
Defiance 2050 Xbox One,"3074, 6540, 50000","88, 500, 3074, 3544, 4500, 40000-45000",
Deformers,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deformers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deformers Xbox One,3074,"88, 500, 3074, 3544, 4500",
Defunct,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Defunct Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Defunct Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Defunct Xbox One,3074,"88, 500, 3074, 3544, 4500",
Degrees of Separation Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Degrees of Separation Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Degrees of Separation Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Degrees of Separation Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dehumanized,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Delta Force,3568-3569,,
Delta Force 2,3568-3569,,
Delta Force: Black Hawk Down,17479,,
Delta Force: Land Warrior,17478,,
Delta Force: Task Force Dagger,17478,,
Delta Force: Xtreme,"32768, 49152, 64206",,
Delta Force: Xtreme 2,"32768, 49152, 64206",,
Delta Three PC to Phone,"12053, 12083","12080, 12120, 12122, 24150-24179",
Deltarune Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deltarune Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Demon's Crystals Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Demon's Crystals Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Demon's Crystals Xbox One,3074,"88, 500, 3074, 3544, 4500",
Demons of Mercy Xbox 360,3074,"88, 3074",
Demons Souls Playstation 3,5223,"5223, 3478, 3479, 3658",
Dengeki Bunko: Fighting Climax Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dengeki Bunko: Fighting Climax - Ignition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dengeki Bunko: Fighting Climax - Ignition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Denkovi DAEnetIP4,80,161,
Denkovi SmartDEN IP-16R,80,161,
Denkovi SmartDEN IP-32IN,80,161,
Denkovi SmartDEN Logger,80,161,
Deployment Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deployment Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deployment Xbox One,3074,"88, 500, 3074, 3544, 4500",
Depraved Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deracine Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Derby Time Online Playstation 3,5223,"5223, 3478, 3479, 3658",
DERU: The Art of Cooperation Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DERU: The Art of Cooperation Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Descenders,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Descenders Xbox One,3074,"88, 500, 3074, 3544, 4500",
Descent (2018) Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Descent (2018) Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Descent (2018) Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Descent (2018) Xbox One,3074,"88, 500, 3074, 3544, 4500",
Desert Child Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Desert Child Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Desert Child Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Desert Child Xbox One,3074,"88, 500, 3074, 3544, 4500",
Desperados III Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Desperados III Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Desperados III Xbox One,3074,"88, 500, 3074, 3544, 4500",
Destiny Xbox One,3074,"88, 500, 1200, 3074, 3544, 4500",
Destiny Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Destiny Xbox 360,3074,"88, 3074",
Destiny Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Destiny 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Destiny 2 Xbox One,3074,"88, 500, 1200, 3074, 3544, 4500",
Destiny 2,"3074, 3097",,
Destroy All Humans!: Big Willy Unleashed Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Destroy All Humans!: Path of the Furon Xbox 360,3074,"88, 3074",
Destroy All Humans!: Path of the Furon Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Destroyer Command,3000,3000,
Determinance,28000-28010,28000-28010,
Detroit: Become Human Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deus Ex: Breach,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deus Ex: Human Revolution Xbox 360,3074,"88, 3074",
Deus Ex: Human Revolution Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Deus Ex: Human Revolution,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deus Ex: Invisible War Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deus Ex: Mankind Divided,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Deus Ex: Mankind Divided Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Deus Ex: Mankind Divided Xbox One,3074,"88, 500, 3074, 3544, 4500",
Deus Ex: The Fall,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Devil May Cry 4 Xbox 360,3074,"88, 3074",
Devil May Cry 4 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Devil May Cry 4 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Devil May Cry 4 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Devil May Cry 5 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Devil May Cry 5 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Devil May Cry 5 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Devil May Cry: HD Collection Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Devil May Cry: HD Collection Xbox 360,3074,"88, 3074",
Devil's Hunt Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Devil's Hunt Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Devil's Hunt Xbox One,3074,"88, 500, 3074, 3544, 4500",
Devious Dungeon Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Devious Dungeon Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Devious Dungeon Xbox One,3074,"88, 500, 3074, 3544, 4500",
Diablo,6112-6119,6112-6119,
Diablo II,"4000, 6112",,
Diablo III,1119,"1119, 6120",
Diablo III Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Diablo III Xbox 360,3074,"88, 3074",
Diablo III: Eternal Collection Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Diablo III: Eternal Collection Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Diablo III: Eternal Collection Xbox One,3074,"88, 500, 3074, 3544, 4500",
Diablo III: Ultimate Evil Edition Xbox 360,3074,"88, 3074",
Diablo III: Ultimate Evil Edition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Diablo III: Ultimate Evil Edition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Diablo III: Ultimate Evil Edition Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dialpad,"1584, 1585, 51210","51200, 51201",
Diamond Mind Baseball,32158,,
Diario: Rebirth Moon Legend Xbox 360,3074,"88, 3074",
Dig Dug Xbox 360,3074,3074,
Digi-Watcher,5003,5003,
Digimon Story: Cyber Sleuth Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Digimon Story: Cyber Sleuth - Hacker's Memory Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Digital Watchdog DW-TP-750G,10101,,
Digital Watchdog DW-VF8,"80, 9010",,
Digital Watchdog DW-VMAX 16,"80, 9010-9011",,
Digital Watchdog DW-VMAX 8,"80, 9010-9011",,
Digital Watchdog DW-VMAX480D 16,"80, 9010",,
Digital Watchdog DW-VMAXD1,2000,,
DIGIZON 211-B,"7070, 8000, 40001-40002","7070, 8000, 40001-40002",
DIGIZON 211-P,"7070, 8000, 40001-40002","7070, 8000, 40001-40002",
DINA DVR Server,5000,,
DINA RMC,"1099, 5000-5001, 8080",,
DIRECTV GenieGO,8082-8083,,
DirectX 7,"2300-2400, 47624",2300-2400,
DirectX 8,"2302-2400, 6073",,
DirectX 8.1,"2302-2400, 6073",,
DiRT Xbox 360,3074,"88, 3074",
DiRT Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DiRT,30002,,
DiRT 2 Xbox 360,3074,"88, 3074",
DiRT 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DiRT 2,3074,"88, 3074",
DiRT 2 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
DiRT 3,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DiRT 3 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DiRT 3 Xbox 360,3074,"88, 3074",
DiRT 4 Xbox One,3074,"88, 500, 3074, 3544, 4500",
DiRT 4 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DiRT 4,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DiRT Rally Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DiRT Rally Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DiRT Rally Xbox One,3074,"88, 500, 3074, 3544, 4500",
DiRT Rally 2.0 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DiRT Rally 2.0 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DiRT Rally 2.0 Xbox One,3074,"88, 500, 3074, 3544, 4500",
DiRT: Showdown Xbox 360,3074,"88, 3074",
DiRT: Showdown Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DiRT: Showdown,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dirty Bomb Steam,"7777-9577, 27015-27030, 27036-27037","4380, 7777-9577, 27000-27031, 27036",
Disaster Report 4 Plus: Summer Memories Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Disco Dodgeball Remix,5055,,
Disco Dodgeball Remix Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disco Dodgeball Remix Xbox One,3074,"88, 500, 3074, 3544, 4500",
Disco Dodgeball Remix Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Discs of TRON Xbox 360,3074,"88, 3074",
Disease: Hidden Object Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disgaea 1 Complete Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Disgaea 1 Complete Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disgaea 2 PC,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Disgaea 3: Absence of Justice Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disgaea 4: A Promise Unforgotten Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disgaea 5 Complete Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Disgaea 5 Complete Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disgaea 5: Alliance of Vengeance Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Disgaea D2: A Brighter Darkness Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disgaea PC,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dish Network Hopper,"80, 443, 5678","80, 443, 5678",
Dishonored,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dishonored Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dishonored Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dishonored Xbox 360,3074,"88, 3074",
Dishonored Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dishonored 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dishonored 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dishonored 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dishonored: Death of the Outsider,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dishonored: Death of the Outsider Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dishonored: Death of the Outsider Xbox One,3074,"88, 500, 3074, 3544, 4500",
Disney Infinity Xbox 360,3074,"88, 3074",
Disney Infinity Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Infinity,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Disney Infinity Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Infinity 2.0 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Infinity 2.0 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Disney Infinity 2.0 Xbox 360,3074,"88, 3074",
Disney Infinity 2.0 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Disney Infinity 2.0,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Disney Infinity 3.0,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Disney Infinity 3.0 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Infinity 3.0 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Disney Infinity 3.0 Xbox 360,3074,"88, 3074",
Disney Infinity 3.0 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Disney Sing It Xbox 360,3074,"88, 3074",
Disney Sing It Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Sing It Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Sing It: Family Hits Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Sing It: Family Hits Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Sing It: High School Musical 3 - Senior Year Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Sing It: High School Musical 3 - Senior Year Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Sing It: High School Musical 3 - Senior Year Xbox 360,3074,"88, 3074",
Disney Sing It: Party Hits Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Sing It: Party Hits Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Sing It: Pop Hits Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Disney Sing It: Pop Hits Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disney Tsum Tsum Festival Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Disneyland Adventures Xbox One,3074,"88, 500, 3074, 3544, 4500",
Disneys Meet the Robinsons Xbox 360,3074,3074,
Dissidia: Final Fantasy NT Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Distance,45671,45671,
Distance Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DISTRAINT Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DISTRAINT Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
DISTRAINT Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DISTRAINT 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Divekick,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Divekick Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Divekick Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Divekick Xbox One,3074,"88, 500, 3074, 3544, 4500",
Divine Divinity Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Divinity II: Developer's Cut Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Divinity II: Ego Draconis Xbox 360,3074,"88, 3074",
Divinity II: The Dragon Knight Saga Xbox 360,3074,"88, 3074",
Divinity: Dragon Commander,23232,23232,
Divinity: Original Sin,23243-23262,23243-23262,
Divinity: Original Sin Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Divinity: Original Sin Xbox One,3074,"88, 500, 3074, 3544, 4500",
Divinity: Original Sin II,23243-23262,,
Divinity: Original Sin II Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Divinity: Original Sin II Xbox One,3074,"88, 500, 3074, 3544, 4500",
DJ Hero Xbox 360,3074,"88, 3074",
DJ Hero Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DJ Hero Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
DJ Hero 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DJ Hero 2 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
DJ Hero 2 Xbox 360,3074,"88, 3074",
DJMax: Respect Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DLink DVC-1000,"1720, 15328-15333",15328-15333,
DLink DVC-1100,"1720, 15328-15333",15328-15333,
DLink DVC-2000,"1720, 15328-15333",15328-15333,
DmC: Devil May Cry,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DmC: Devil May Cry Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DmC: Devil May Cry Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DmC: Devil May Cry Xbox 360,3074,"88, 3074",
DmC: Devil May Cry Xbox One,3074,"88, 500, 3074, 3544, 4500",
DMW Scanner,"25120, 25123","25120, 25123",
DNS2Go,1227,1227,
Do Not Feed the Monkeys Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Doctor Who: The Eternity Clock,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Doctor Who: The Eternity Clock Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
DoDonPachi Daioujou Black Label X Xbox 360,3074,3074,
Dogfight 1942,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dogfight 1942 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dogfight 1942 Xbox 360,3074,"88, 3074",
Dogtag Xbox 360,3074,3074,
Dokuro,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Domino Master Xbox 360,3074,3074,
Domino Rally Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Don Bradman Cricket 14,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Don Bradman Cricket 14 Playstation 3,5223,"5223, 3478-3479, 3658",
